,Pairs
0,BTCUSD
1,ETHUSD
2,XRPUSD
3,BCHUSD
4,LTCUSD
5,ETHBTC
6,XRPBTC
7,BNBBTC
8,LTCBTC
9,BCHBTC
10,ADAUSD
11,BATUSD
12,ETCUSD
13,XLMUSD
14,ZRXUSD
15,LINKUSD
16,RVNUSD
17,DASHUSD
18,ZECUSD
19,ALGOUSD
20,IOTAUSD
21,WAVESUSD
22,ATOMUSD
23,NEOUSD
24,QTUMUSD
25,NANOUSD
26,ICXUSD
27,ENJUSD
28,ONTUSD
29,ZILUSD
30,VETUSD
31,XTZUSD
32,HBARUSD
33,OMGUSD
34,MATICUSD
35,XTZBTC
36,ADABTC
37,REPUSD
38,EOSUSD
39,DOGEUSD
40,KNCUSD
41,VTHOUSD
42,COMPUSD
43,MANAUSD
44,HNTUSD
45,MKRUSD
46,DAIUSD
47,ONEUSD
48,BANDUSD
49,STORJUSD
50,UNIUSD
51,SOLUSD
52,LINKBTC
53,VETBTC
54,UNIBTC
55,EGLDUSD
56,PAXGUSD
57,OXTUSD
58,ZENUSD
59,FILUSD
60,AAVEUSD
61,GRTUSD
62,SUSHIUSD
63,ANKRUSD
64,AMPUSD
