,ts_start,p_open,p_high,p_low,p_close,volume,ts_end,q_a_v,no_trades,volume_t,q_a_v_t,ignore
0,2021-09-01 08:00:00.000,396.61,400.12,395.71,397.47,137.9487,2021-09-01 08:59:59.999,54863.7190,75,75.36940000,29978.2123,0
1,2021-09-01 09:00:00.000,398.24,398.24,393.26,394.83,146.5565,2021-09-01 09:59:59.999,57975.5175,68,50.68520000,20053.9769,0
2,2021-09-01 10:00:00.000,395.32,397.69,391.3,394.13,271.1625,2021-09-01 10:59:59.999,106751.3399,166,123.95930000,48764.8533,0
3,2021-09-01 11:00:00.000,393.94,401.44,393.94,400.82,167.7926,2021-09-01 11:59:59.999,66725.6875,106,58.34140000,23223.0594,0
4,2021-09-01 12:00:00.000,401.65,411.9,397.94,410.67,483.5326,2021-09-01 12:59:59.999,195791.1179,705,278.09900000,112854.5131,0
5,2021-09-01 13:00:00.000,410.67,410.88,405.6,405.6,315.2952,2021-09-01 13:59:59.999,128841.0425,146,120.76980000,49442.3889,0
6,2021-09-01 14:00:00.000,406.21,409.18,406.04,406.04,111.1532,2021-09-01 14:59:59.999,45291.6045,66,29.64940000,12110.9618,0
7,2021-09-01 15:00:00.000,407.81,409.61,403.76,408.91,434.586,2021-09-01 15:59:59.999,176141.5862,160,187.93150000,76186.1895,0
8,2021-09-01 16:00:00.000,409.74,412.4,408.55,408.96,551.6585,2021-09-01 16:59:59.999,226144.4930,233,286.94100000,117608.2722,0
9,2021-09-01 17:00:00.000,409.76,411.95,408.43,411.6,182.7906,2021-09-01 17:59:59.999,74988.3336,96,161.35670000,66210.0757,0
10,2021-09-01 18:00:00.000,412.0,414.08,407.68,408.78,78.0031,2021-09-01 18:59:59.999,32121.2041,193,46.41550000,19149.5755,0
11,2021-09-01 19:00:00.000,407.55,414.3,407.52,414.09,108.1093,2021-09-01 19:59:59.999,44488.0595,113,76.20170000,31425.3235,0
12,2021-09-01 20:00:00.000,412.89,414.99,405.74,406.97,186.8088,2021-09-01 20:59:59.999,76827.6624,199,46.96780000,19372.7774,0
13,2021-09-01 21:00:00.000,405.67,408.74,404.04,405.29,181.4184,2021-09-01 21:59:59.999,73558.4542,163,89.96500000,36492.0619,0
14,2021-09-01 22:00:00.000,405.4,408.19,404.32,405.53,64.9436,2021-09-01 22:59:59.999,26349.9284,69,35.70070000,14489.1329,0
15,2021-09-01 23:00:00.000,405.4,410.03,404.17,408.89,97.2016,2021-09-01 23:59:59.999,39540.3648,68,81.27140000,33070.2401,0
16,2021-09-02 00:00:00.000,409.61,413.63,408.23,412.63,181.9245,2021-09-02 00:59:59.999,74748.7334,176,122.48590000,50339.5453,0
17,2021-09-02 01:00:00.000,412.07,413.58,410.07,410.78,312.6845,2021-09-02 01:59:59.999,128605.1293,113,88.87800000,36550.9435,0
18,2021-09-02 02:00:00.000,410.44,411.05,406.87,407.89,87.8777,2021-09-02 02:59:59.999,35888.8692,63,73.83810000,30147.8497,0
19,2021-09-02 03:00:00.000,407.54,410.33,406.33,407.81,58.6951,2021-09-02 03:59:59.999,23999.2807,44,29.83190000,12225.2630,0
20,2021-09-02 04:00:00.000,407.58,409.34,406.32,407.13,34.6399,2021-09-02 04:59:59.999,14139.0384,33,16.86910000,6886.8802,0
21,2021-09-02 05:00:00.000,407.06,407.38,405.3,405.89,46.3365,2021-09-02 05:59:59.999,18824.2446,34,24.25720000,9856.4046,0
22,2021-09-02 06:00:00.000,406.87,409.83,405.8,409.28,51.1908,2021-09-02 06:59:59.999,20861.6800,39,42.11620000,17171.1425,0
23,2021-09-02 07:00:00.000,410.01,411.3,407.89,409.18,51.6321,2021-09-02 07:59:59.999,21126.3628,52,22.78810000,9338.0040,0
24,2021-09-02 08:00:00.000,409.11,411.05,408.53,409.24,101.3354,2021-09-02 08:59:59.999,41515.2971,68,50.93170000,20876.7414,0
25,2021-09-02 09:00:00.000,408.53,412.56,408.52,411.3,247.3129,2021-09-02 09:59:59.999,101378.7431,93,145.53180000,59665.8209,0
26,2021-09-02 10:00:00.000,411.38,414.08,403.01,404.82,272.2084,2021-09-02 10:59:59.999,111379.4934,210,177.20020000,72487.9182,0
27,2021-09-02 11:00:00.000,404.82,406.59,401.47,403.14,343.8888,2021-09-02 11:59:59.999,139098.5051,182,201.80140000,81670.4832,0
28,2021-09-02 12:00:00.000,402.71,407.15,402.71,405.91,95.4136,2021-09-02 12:59:59.999,38749.8656,39,71.95710000,29248.3365,0
29,2021-09-02 13:00:00.000,404.8,408.45,403.61,408.45,100.471,2021-09-02 13:59:59.999,40642.3506,73,30.14900000,12216.9306,0
30,2021-09-02 14:00:00.000,407.84,408.71,400.93,402.96,432.4947,2021-09-02 14:59:59.999,173976.8715,136,177.25990000,71312.2106,0
31,2021-09-02 15:00:00.000,402.96,403.32,399.58,399.59,205.674,2021-09-02 15:59:59.999,82457.2278,151,71.87350000,28893.7914,0
32,2021-09-02 16:00:00.000,400.25,401.31,399.04,400.48,81.629,2021-09-02 16:59:59.999,32677.0101,68,71.97640000,28816.3631,0
33,2021-09-02 17:00:00.000,401.2,402.71,400.64,402.71,30.272,2021-09-02 17:59:59.999,12155.8219,43,14.90790000,5994.5076,0
34,2021-09-02 18:00:00.000,402.76,404.28,401.17,403.59,119.3045,2021-09-02 18:59:59.999,48041.3917,80,62.94140000,25381.3982,0
35,2021-09-02 19:00:00.000,402.67,402.85,399.47,399.47,200.8553,2021-09-02 19:59:59.999,80491.8241,130,98.81970000,39645.0236,0
36,2021-09-02 20:00:00.000,400.03,404.67,393.27,394.18,608.5441,2021-09-02 20:59:59.999,243023.2924,420,214.59290000,86003.2941,0
37,2021-09-02 21:00:00.000,394.75,395.75,388.01,391.33,380.1507,2021-09-02 21:59:59.999,148388.1678,252,211.79710000,82697.3045,0
38,2021-09-02 22:00:00.000,389.63,395.01,387.82,394.13,538.795,2021-09-02 22:59:59.999,211244.9943,174,265.51430000,104383.7788,0
