,ts_start,p_open,p_high,p_low,p_close,volume,ts_end,q_a_v,no_trades,volume_t,q_a_v_t,ignore
0,2021-09-02 18:00:00.000,668.13,668.13,665.6,667.18,98.78553,2021-09-02 18:59:59.999,65850.3240,900,24.24754000,16164.9359,0
1,2021-09-02 19:00:00.000,666.43,666.48,662.51,664.51,75.11651,2021-09-02 19:59:59.999,49859.2714,255,17.26100000,11464.1142,0
2,2021-09-02 20:00:00.000,665.6,674.8,655.9,656.77,535.84179,2021-09-02 20:59:59.999,358490.2553,1063,291.93322000,195256.9242,0
3,2021-09-02 21:00:00.000,656.79,658.29,652.03,653.11,72.7268,2021-09-02 21:59:59.999,47591.4760,377,27.34627000,17898.7889,0
4,2021-09-02 22:00:00.000,652.41,657.5,651.26,656.86,128.43922,2021-09-02 22:59:59.999,84055.2410,195,52.01602000,34045.7124,0
5,2021-09-02 23:00:00.000,657.52,670.1,656.72,668.96,245.36706,2021-09-02 23:59:59.999,162590.7672,416,100.91253000,66951.5290,0
6,2021-09-03 00:00:00.000,668.41,672.51,668.04,670.79,90.26104,2021-09-03 00:59:59.999,60455.0593,208,46.57688000,31211.3274,0
7,2021-09-03 01:00:00.000,671.12,671.12,665.06,667.53,116.28118,2021-09-03 01:59:59.999,77680.6724,128,94.99985000,63473.9037,0
8,2021-09-03 02:00:00.000,667.28,669.02,665.99,665.99,63.46521,2021-09-03 02:59:59.999,42360.7600,107,30.19984000,20172.2647,0
9,2021-09-03 03:00:00.000,666.92,668.0,664.88,665.3,49.30993,2021-09-03 03:59:59.999,32849.1128,68,42.07105000,28027.5342,0
10,2021-09-03 04:00:00.000,665.81,673.04,665.54,672.66,56.84178,2021-09-03 04:59:59.999,38087.6256,165,27.75640000,18626.1792,0
11,2021-09-03 05:00:00.000,672.41,676.86,670.6,674.89,225.12372,2021-09-03 05:59:59.999,151881.7767,502,104.48859000,70540.1927,0
12,2021-09-03 06:00:00.000,675.79,685.19,672.77,675.96,448.36138,2021-09-03 06:59:59.999,304872.8844,881,177.89953000,120882.7074,0
13,2021-09-03 07:00:00.000,676.63,683.09,671.89,682.8,78.85009,2021-09-03 07:59:59.999,53497.6960,240,31.07200000,21052.6181,0
14,2021-09-03 08:00:00.000,683.09,686.41,678.1,684.77,168.65942,2021-09-03 08:59:59.999,115285.0833,340,73.48800000,50193.9411,0
15,2021-09-03 09:00:00.000,684.67,700.0,684.48,695.36,691.87193,2021-09-03 09:59:59.999,481222.6737,1406,389.25992000,270571.9634,0
16,2021-09-03 10:00:00.000,695.7,697.0,689.03,695.31,463.12005,2021-09-03 10:59:59.999,320941.4191,456,129.54710000,89890.0683,0
17,2021-09-03 11:00:00.000,695.71,713.72,695.46,706.65,799.2227,2021-09-03 11:59:59.999,563413.7793,1458,460.16418000,323681.0290,0
18,2021-09-03 12:00:00.000,707.01,709.02,701.16,703.38,696.30993,2021-09-03 12:59:59.999,490073.0855,624,352.01252000,247939.5076,0
19,2021-09-03 13:00:00.000,703.88,716.95,703.88,716.28,596.65205,2021-09-03 13:59:59.999,424483.5733,654,147.56035000,104841.0402,0
20,2021-09-03 14:00:00.000,715.99,721.08,711.55,720.46,394.09967,2021-09-03 14:59:59.999,282443.3419,1028,211.01262000,151212.2386,0
21,2021-09-03 15:00:00.000,720.31,721.9,715.53,720.06,619.46345,2021-09-03 15:59:59.999,445423.8144,547,181.69569000,130562.5260,0
22,2021-09-03 16:00:00.000,719.75,721.56,711.52,714.12,210.79226,2021-09-03 16:59:59.999,150820.6390,345,155.58140000,111291.7575,0
23,2021-09-03 17:00:00.000,714.24,720.0,713.96,718.89,100.45195,2021-09-03 17:59:59.999,72001.6226,229,57.68648000,41302.6803,0
24,2021-09-03 18:00:00.000,720.28,720.95,703.05,705.93,476.77647,2021-09-03 18:59:59.999,337564.8845,707,300.78064000,213000.5563,0
25,2021-09-03 19:00:00.000,705.37,713.93,705.37,713.5,883.96568,2021-09-03 19:59:59.999,627369.2732,563,328.97285000,233441.5125,0
26,2021-09-03 20:00:00.000,713.91,721.34,709.82,721.34,230.64963,2021-09-03 20:59:59.999,165210.6900,625,163.82144000,117344.5741,0
