,ts_start,p_open,p_high,p_low,p_close,volume,ts_end,q_a_v,no_trades,volume_t,q_a_v_t,ignore
0,2021-09-02 18:00:00.000,0.0098217,0.0098614,0.0098124,0.0098471,47.03,2021-09-02 18:59:59.999,0.46284179,51,39.86000000,0.39232687,0
1,2021-09-02 19:00:00.000,0.009844,0.0098586,0.0098117,0.0098117,154.18,2021-09-02 19:59:59.999,1.51455562,67,66.91000000,0.65737268,0
2,2021-09-02 20:00:00.000,0.0098295,0.0098329,0.0097467,0.0097982,202.9,2021-09-02 20:59:59.999,1.98628502,119,100.19000000,0.98040209,0
3,2021-09-02 21:00:00.000,0.0097981,0.0098413,0.009797,0.0098259,83.92,2021-09-02 21:59:59.999,0.82370678,77,41.82000000,0.41056752,0
4,2021-09-02 22:00:00.000,0.0098257,0.0098726,0.0098257,0.0098654,203.74,2021-09-02 22:59:59.999,2.00860013,93,141.87000000,1.39852872,0
5,2021-09-02 23:00:00.000,0.0098555,0.0098934,0.0098391,0.0098391,70.8,2021-09-02 23:59:59.999,0.69828819,52,7.54000000,0.07443201,0
6,2021-09-03 00:00:00.000,0.009842,0.009861,0.0098188,0.0098254,63.15,2021-09-03 00:59:59.999,0.62167079,43,34.94000000,0.34407827,0
7,2021-09-03 01:00:00.000,0.009818,0.0098791,0.0097927,0.0098453,30.66,2021-09-03 01:59:59.999,0.30133511,61,18.95000000,0.18651731,0
8,2021-09-03 02:00:00.000,0.0098612,0.0098678,0.0097831,0.0098162,148.41,2021-09-03 02:59:59.999,1.45502847,68,12.35000000,0.12134465,0
9,2021-09-03 03:00:00.000,0.0098175,0.009821,0.0097806,0.009821,66.38,2021-09-03 03:59:59.999,0.65031263,39,35.76000000,0.35047702,0
10,2021-09-03 04:00:00.000,0.0098168,0.0098263,0.0097787,0.0097929,64.01,2021-09-03 04:59:59.999,0.62711390,34,43.30000000,0.42416531,0
11,2021-09-03 05:00:00.000,0.0098144,0.0098144,0.0097499,0.0097499,67.13,2021-09-03 05:59:59.999,0.65614209,92,20.77000000,0.20317592,0
12,2021-09-03 06:00:00.000,0.0097571,0.0098024,0.0097369,0.0097776,292.87,2021-09-03 06:59:59.999,2.86140182,90,195.78000000,1.91390230,0
13,2021-09-03 07:00:00.000,0.009774,0.0097961,0.0097352,0.009757,83.06,2021-09-03 07:59:59.999,0.81178244,81,61.71000000,0.60348938,0
14,2021-09-03 08:00:00.000,0.0097568,0.0097798,0.0096887,0.0097135,153.3,2021-09-03 08:59:59.999,1.49144138,231,62.90000000,0.61295741,0
15,2021-09-03 09:00:00.000,0.0097088,0.0097326,0.0096713,0.0097175,102.4,2021-09-03 09:59:59.999,0.99367869,161,50.53000000,0.49019569,0
16,2021-09-03 10:00:00.000,0.0097326,0.009772,0.0096886,0.0097028,249.88,2021-09-03 10:59:59.999,2.43355525,145,128.67000000,1.25492955,0
17,2021-09-03 11:00:00.000,0.009701,0.009749,0.009701,0.009749,126.48,2021-09-03 11:59:59.999,1.23016620,70,58.41000000,0.56799116,0
18,2021-09-03 12:00:00.000,0.0097508,0.0097599,0.0097131,0.0097599,29.61,2021-09-03 12:59:59.999,0.28820254,45,16.73000000,0.16281310,0
19,2021-09-03 13:00:00.000,0.0097607,0.0097625,0.0097397,0.0097488,57.62,2021-09-03 13:59:59.999,0.56165233,55,43.56000000,0.42458786,0
20,2021-09-03 14:00:00.000,0.0097488,0.0097488,0.0097166,0.0097166,103.01,2021-09-03 14:59:59.999,1.00259111,67,55.44000000,0.53966190,0
21,2021-09-03 15:00:00.000,0.0097339,0.009737,0.009685,0.0096883,120.45,2021-09-03 15:59:59.999,1.16940778,112,42.88000000,0.41658288,0
22,2021-09-03 16:00:00.000,0.0096867,0.0097619,0.0096849,0.0097619,203.69,2021-09-03 16:59:59.999,1.98253173,203,57.67000000,0.56174834,0
23,2021-09-03 17:00:00.000,0.0097416,0.009777,0.0097399,0.0097522,37.39,2021-09-03 17:59:59.999,0.36477086,58,21.92000000,0.21389583,0
24,2021-09-03 18:00:00.000,0.0097589,0.0097673,0.0097388,0.0097594,147.49,2021-09-03 18:59:59.999,1.43884438,92,63.99000000,0.62428446,0
25,2021-09-03 19:00:00.000,0.0097516,0.0097687,0.0097414,0.0097596,251.41,2021-09-03 19:59:59.999,2.45305586,85,35.42000000,0.34551561,0
26,2021-09-03 20:00:00.000,0.0097732,0.0098618,0.0097692,0.00984,137.3,2021-09-03 20:59:59.999,1.34570779,165,94.01000000,0.92073624,0
27,2021-09-03 21:00:00.000,0.0098439,0.0098439,0.0098018,0.0098185,219.23,2021-09-03 21:59:59.999,2.15204996,60,49.19000000,0.48312803,0
28,2021-09-03 22:00:00.000,0.0098058,0.0098102,0.0097696,0.0097696,57.03,2021-09-03 22:59:59.999,0.55814429,98,33.00000000,0.32315651,0
29,2021-09-03 23:00:00.000,0.0097634,0.009786,0.0097322,0.0097403,102.2,2021-09-03 23:59:59.999,0.99639503,97,51.13000000,0.49881282,0
30,2021-09-04 00:00:00.000,0.0097374,0.0097493,0.0097131,0.0097131,117.87,2021-09-04 00:59:59.999,1.14735478,89,77.22000000,0.75160906,0
31,2021-09-04 01:00:00.000,0.0097165,0.0097407,0.0097151,0.0097272,48.08,2021-09-04 01:59:59.999,0.46756996,37,19.17000000,0.18642328,0
32,2021-09-04 02:00:00.000,0.0097258,0.0098006,0.0097228,0.0097819,42.19,2021-09-04 02:59:59.999,0.41123706,74,35.46000000,0.34561879,0
33,2021-09-04 03:00:00.000,0.0097623,0.0097909,0.0097607,0.0097653,60.84,2021-09-04 03:59:59.999,0.59466036,47,9.33000000,0.09117605,0
34,2021-09-04 04:00:00.000,0.0097646,0.0098021,0.0097527,0.0098021,37.62,2021-09-04 04:59:59.999,0.36769127,40,7.76000000,0.07585982,0
35,2021-09-04 05:00:00.000,0.0098025,0.0098148,0.0097703,0.0097775,22.68,2021-09-04 05:59:59.999,0.22180702,44,5.14000000,0.05036400,0
36,2021-09-04 06:00:00.000,0.0097711,0.0098239,0.0097623,0.0098178,36.72,2021-09-04 06:59:59.999,0.36040536,77,35.12000000,0.34475761,0
37,2021-09-04 07:00:00.000,0.0098145,0.0098415,0.0098082,0.0098194,157.13,2021-09-04 07:59:59.999,1.54404837,61,117.27000000,1.15268914,0
38,2021-09-04 08:00:00.000,0.0098235,0.0101029,0.0098235,0.0100413,743.35,2021-09-04 08:59:59.999,7.43615848,539,403.71000000,4.03412324,0
39,2021-09-04 09:00:00.000,0.0100349,0.0101489,0.0100349,0.0100672,450.8,2021-09-04 09:59:59.999,4.54882969,217,83.48000000,0.84359198,0
40,2021-09-04 10:00:00.000,0.0100696,0.0100979,0.0099702,0.0100104,434.85,2021-09-04 10:59:59.999,4.35869015,171,151.17000000,1.51551629,0
41,2021-09-04 11:00:00.000,0.0100159,0.0101103,0.0100159,0.0100242,261.56,2021-09-04 11:59:59.999,2.63181515,151,169.02000000,1.70224641,0
42,2021-09-04 12:00:00.000,0.010035,0.0100371,0.009961,0.009961,92.51,2021-09-04 12:59:59.999,0.92691471,113,13.04000000,0.13056487,0
43,2021-09-04 13:00:00.000,0.0099575,0.0099783,0.0098968,0.0099335,262.84,2021-09-04 13:59:59.999,2.61005639,184,166.77000000,1.65567559,0
44,2021-09-04 14:00:00.000,0.0099297,0.0099601,0.0099275,0.0099275,47.47,2021-09-04 14:59:59.999,0.47201987,44,20.73000000,0.20616364,0
45,2021-09-04 15:00:00.000,0.0099253,0.00993,0.009885,0.009885,47.75,2021-09-04 15:59:59.999,0.47294596,43,9.96000000,0.09867463,0
46,2021-09-04 16:00:00.000,0.0098962,0.0099409,0.0098842,0.0099409,40.51,2021-09-04 16:59:59.999,0.40224812,43,32.13000000,0.31910541,0
47,2021-09-04 17:00:00.000,0.0099408,0.0099599,0.0099355,0.0099574,89.24,2021-09-04 17:59:59.999,0.88781250,48,79.63000000,0.79224296,0
48,2021-09-04 18:00:00.000,0.0099646,0.0100115,0.0099361,0.0100079,90.64,2021-09-04 18:59:59.999,0.90594534,76,66.28000000,0.66288844,0
49,2021-09-04 19:00:00.000,0.0100079,0.0100371,0.0099526,0.0099675,177.1,2021-09-04 19:59:59.999,1.76838358,92,76.96000000,0.76980461,0
50,2021-09-04 20:00:00.000,0.0099661,0.0099724,0.0099077,0.0099724,153.08,2021-09-04 20:59:59.999,1.52112114,88,63.61000000,0.63204399,0
51,2021-09-04 21:00:00.000,0.0099559,0.0099559,0.0098728,0.0098744,143.9,2021-09-04 21:59:59.999,1.42715081,74,33.54000000,0.33227756,0
52,2021-09-04 22:00:00.000,0.009874,0.0099214,0.009874,0.0099073,303.47,2021-09-04 22:59:59.999,3.00602458,57,255.95000000,2.53601211,0
53,2021-09-04 23:00:00.000,0.009889,0.0099361,0.0098779,0.0099275,354.28,2021-09-04 23:59:59.999,3.51144535,100,187.64000000,1.85923304,0
54,2021-09-05 00:00:00.000,0.0099158,0.0099308,0.009888,0.0099151,383.02,2021-09-05 00:59:59.999,3.79119469,58,60.37000000,0.59766412,0
55,2021-09-05 01:00:00.000,0.0099117,0.0099117,0.0098916,0.0099006,4.73,2021-09-05 01:59:59.999,0.04684793,19,1.83000000,0.01812700,0
56,2021-09-05 02:00:00.000,0.0098943,0.0099083,0.0098779,0.0099025,13.95,2021-09-05 02:59:59.999,0.13802654,33,10.81000000,0.10698451,0
57,2021-09-05 03:00:00.000,0.0099021,0.0099144,0.0098801,0.0099132,87.07,2021-09-05 03:59:59.999,0.86187434,46,29.40000000,0.29116827,0
58,2021-09-05 04:00:00.000,0.0099231,0.009935,0.009879,0.0098927,25.81,2021-09-05 04:59:59.999,0.25596420,39,15.28000000,0.15173067,0
59,2021-09-05 05:00:00.000,0.0098779,0.0098993,0.009875,0.0098765,18.1,2021-09-05 05:59:59.999,0.17893853,17,14.76000000,0.14593679,0
60,2021-09-05 06:00:00.000,0.0098754,0.0099002,0.0098699,0.0098699,81.97,2021-09-05 06:59:59.999,0.80991793,39,27.10000000,0.26800016,0
