,ts_start,p_open,p_high,p_low,p_close,volume,ts_end,q_a_v,no_trades,volume_t,q_a_v_t,ignore
0,2021-09-02 18:00:00.000,49842.76,49842.76,49643.93,49717.14,23.621054,2021-09-02 18:59:59.999,1174949.4978,1352,11.24159000,559276.9711,0
1,2021-09-02 19:00:00.000,49701.57,49711.86,49264.88,49277.1,59.025084,2021-09-02 19:59:59.999,2916890.1709,2298,33.89991600,1674713.1903,0
2,2021-09-02 20:00:00.000,49277.2,49418.71,48509.26,48597.9,137.135965,2021-09-02 20:59:59.999,6710162.8001,6082,62.34091300,3051340.1751,0
3,2021-09-02 21:00:00.000,48595.38,48720.62,48360.0,48567.06,86.650694,2021-09-02 21:59:59.999,4206725.4641,4045,44.50175800,2160902.7565,0
4,2021-09-02 22:00:00.000,48564.63,49023.73,48520.33,49001.67,59.96395,2021-09-02 22:59:59.999,2926504.8160,2723,33.94882000,1656986.8527,0
5,2021-09-02 23:00:00.000,49001.72,49523.02,48950.25,49507.59,59.223476,2021-09-02 23:59:59.999,2914501.9481,2918,31.76174400,1562391.0676,0
6,2021-09-03 00:00:00.000,49509.18,49750.0,49396.28,49721.04,49.203855,2021-09-03 00:59:59.999,2438365.2974,2653,28.44777100,1409861.9685,0
7,2021-09-03 01:00:00.000,49724.08,49739.35,49408.33,49474.97,33.350066,2021-09-03 01:59:59.999,1652926.0585,1816,17.15277400,850322.2659,0
8,2021-09-03 02:00:00.000,49468.19,49608.23,49325.86,49409.5,29.08982,2021-09-03 02:59:59.999,1438110.0746,1605,10.88892300,538627.8376,0
9,2021-09-03 03:00:00.000,49421.1,49565.26,49228.0,49297.56,22.552435,2021-09-03 03:59:59.999,1113210.2529,1486,12.41300900,612878.0559,0
10,2021-09-03 04:00:00.000,49320.19,50044.23,49272.2,49998.41,59.470981,2021-09-03 04:59:59.999,2960430.9057,3118,37.19603100,1851113.1598,0
11,2021-09-03 05:00:00.000,49998.31,50159.45,49829.66,50118.05,58.581772,2021-09-03 05:59:59.999,2928445.3259,3299,30.50242100,1524864.9511,0
12,2021-09-03 06:00:00.000,50118.05,50526.4,49600.0,49854.36,155.100689,2021-09-03 06:59:59.999,7778685.4550,5293,103.42739400,5190097.1794,0
13,2021-09-03 07:00:00.000,49860.12,50265.9,49525.28,50183.84,86.415898,2021-09-03 07:59:59.999,4314863.3047,3662,48.17543100,2405965.4006,0
14,2021-09-03 08:00:00.000,50193.96,50900.0,49921.59,50668.27,118.852194,2021-09-03 08:59:59.999,6008923.0875,6467,75.29616000,3807764.0439,0
15,2021-09-03 09:00:00.000,50674.42,50950.45,50569.78,50730.75,79.92312,2021-09-03 09:59:59.999,4058579.4649,4100,41.22386000,2093613.7946,0
16,2021-09-03 10:00:00.000,50748.1,51056.86,50272.03,50725.38,140.108049,2021-09-03 10:59:59.999,7106344.8621,5341,79.51189200,4035252.0451,0
17,2021-09-03 11:00:00.000,50715.88,50867.0,50576.03,50588.98,40.835877,2021-09-03 11:59:59.999,2071834.8720,2654,20.64906800,1047817.6070,0
18,2021-09-03 12:00:00.000,50588.99,50744.71,50479.69,50496.0,63.575545,2021-09-03 12:59:59.999,3215149.7667,2911,39.47278500,1996382.4442,0
19,2021-09-03 13:00:00.000,50500.0,50610.44,50340.62,50421.14,44.039143,2021-09-03 13:59:59.999,2224047.7517,2208,17.79486500,898825.8566,0
20,2021-09-03 14:00:00.000,50422.13,50571.36,50239.47,50481.41,46.509571,2021-09-03 14:59:59.999,2342368.8713,2053,24.09313000,1213720.4865,0
21,2021-09-03 15:00:00.000,50474.0,50550.0,50277.41,50541.02,24.089525,2021-09-03 15:59:59.999,1214582.4917,1097,12.69537900,640241.9104,0
22,2021-09-03 16:00:00.000,50551.23,50554.01,50063.28,50141.39,45.662115,2021-09-03 16:59:59.999,2292488.4167,1882,15.06240800,756689.0315,0
