,ts_start,p_open,p_high,p_low,p_close,volume,ts_end,q_a_v,no_trades,volume_t,q_a_v_t,ignore
0,2021-09-02 18:00:00.000,0.07682,0.07682,0.076422,0.076582,22.685,2021-09-02 18:59:59.999,1.73707995,274,7.08600000,0.54287173,0
1,2021-09-02 19:00:00.000,0.076501,0.076924,0.076394,0.076868,27.074,2021-09-02 19:59:59.999,2.07775783,149,8.77700000,0.67458678,0
2,2021-09-02 20:00:00.000,0.076931,0.077088,0.076697,0.076836,42.53,2021-09-02 20:59:59.999,3.27272465,229,34.15300000,2.62807239,0
3,2021-09-02 21:00:00.000,0.076749,0.077068,0.076614,0.077068,52.576,2021-09-02 21:59:59.999,4.04355617,223,19.54000000,1.50273285,0
4,2021-09-02 22:00:00.000,0.077068,0.077327,0.0769,0.077039,25.413,2021-09-02 22:59:59.999,1.95958637,262,9.12600000,0.70446324,0
5,2021-09-02 23:00:00.000,0.077046,0.077328,0.076852,0.076998,29.729,2021-09-02 23:59:59.999,2.28994315,94,24.61000000,1.89537763,0
6,2021-09-03 00:00:00.000,0.076929,0.077189,0.076598,0.076598,19.593,2021-09-03 00:59:59.999,1.50645547,159,3.39900000,0.26170442,0
7,2021-09-03 01:00:00.000,0.076678,0.076924,0.076404,0.076809,20.047,2021-09-03 01:59:59.999,1.53485080,187,3.51200000,0.26975986,0
8,2021-09-03 02:00:00.000,0.076805,0.076862,0.076614,0.07674,26.345,2021-09-03 02:59:59.999,2.02171311,62,3.81400000,0.29275535,0
9,2021-09-03 03:00:00.000,0.076749,0.077148,0.076695,0.07702,11.576,2021-09-03 03:59:59.999,0.89080530,139,10.13600000,0.78008526,0
10,2021-09-03 04:00:00.000,0.077019,0.077976,0.076938,0.077836,183.06,2021-09-03 04:59:59.999,14.19791911,914,130.49300000,10.11808229,0
11,2021-09-03 05:00:00.000,0.077764,0.079396,0.077686,0.079176,324.254,2021-09-03 05:59:59.999,25.53238816,2021,189.89700000,14.95936587,0
12,2021-09-03 06:00:00.000,0.079084,0.079428,0.078824,0.079264,225.516,2021-09-03 06:59:59.999,17.84130897,473,122.39400000,9.67992040,0
13,2021-09-03 07:00:00.000,0.079232,0.079461,0.078763,0.078779,66.701,2021-09-03 07:59:59.999,5.27606967,352,23.09000000,1.82857970,0
14,2021-09-03 08:00:00.000,0.078763,0.078846,0.077874,0.077988,178.355,2021-09-03 08:59:59.999,13.97152483,837,62.44300000,4.89325731,0
15,2021-09-03 09:00:00.000,0.077998,0.078193,0.077637,0.078191,193.059,2021-09-03 09:59:59.999,15.02805024,441,118.30800000,9.21257728,0
16,2021-09-03 10:00:00.000,0.078191,0.078961,0.078191,0.078502,247.224,2021-09-03 10:59:59.999,19.42122460,877,138.81100000,10.91224657,0
17,2021-09-03 11:00:00.000,0.078495,0.078498,0.077993,0.078457,61.312,2021-09-03 11:59:59.999,4.79098905,318,24.45400000,1.91115980,0
18,2021-09-03 12:00:00.000,0.0785,0.078653,0.078349,0.078628,21.692,2021-09-03 12:59:59.999,1.70416025,166,18.06500000,1.41927984,0
19,2021-09-03 13:00:00.000,0.078588,0.078754,0.078548,0.078667,59.793,2021-09-03 13:59:59.999,4.70599977,114,39.66000000,3.12123185,0
20,2021-09-03 14:00:00.000,0.078672,0.078777,0.07828,0.078354,70.245,2021-09-03 14:59:59.999,5.51893974,118,38.54000000,3.03421783,0
21,2021-09-03 15:00:00.000,0.07834,0.078361,0.078064,0.078064,10.523,2021-09-03 15:59:59.999,0.82263530,148,4.23500000,0.33120908,0
22,2021-09-03 16:00:00.000,0.078057,0.078387,0.078001,0.078007,34.783,2021-09-03 16:59:59.999,2.71909468,117,8.32800000,0.65157858,0
23,2021-09-03 17:00:00.000,0.078055,0.078522,0.078055,0.078298,54.843,2021-09-03 17:59:59.999,4.30196125,117,11.98600000,0.93965944,0
24,2021-09-03 18:00:00.000,0.078272,0.078632,0.077954,0.078216,89.89,2021-09-03 18:59:59.999,7.03409171,421,18.75800000,1.46958442,0
25,2021-09-03 19:00:00.000,0.07816,0.0788,0.078155,0.078766,28.199,2021-09-03 19:59:59.999,2.21715752,235,14.46900000,1.13719899,0
26,2021-09-03 20:00:00.000,0.078799,0.079254,0.078679,0.078985,58.011,2021-09-03 20:59:59.999,4.58624623,492,27.57200000,2.17978696,0
27,2021-09-03 21:00:00.000,0.078954,0.079234,0.078881,0.078881,15.625,2021-09-03 21:59:59.999,1.23513466,67,3.45500000,0.27331697,0
