,ts_start,p_open,p_high,p_low,p_close,volume,ts_end,q_a_v,no_trades,volume_t,q_a_v_t,ignore
0,2021-09-02 18:00:00.000,187.64,187.64,186.47,186.67,782.78852,2021-09-02 18:59:59.999,146348.4379,492,274.25683000,51249.7950,0
1,2021-09-02 19:00:00.000,186.56,186.56,183.45,183.52,1250.114,2021-09-02 19:59:59.999,230683.7517,743,443.92835000,81872.9966,0
2,2021-09-02 20:00:00.000,183.44,184.19,180.22,181.34,1161.18892,2021-09-02 20:59:59.999,212105.8982,818,544.21226000,99514.3654,0
3,2021-09-02 21:00:00.000,181.34,181.82,179.91,181.62,730.9656,2021-09-02 21:59:59.999,132454.2791,349,279.41959000,50623.6842,0
4,2021-09-02 22:00:00.000,181.5,184.04,181.29,184.04,497.08956,2021-09-02 22:59:59.999,90838.0754,309,260.60925000,47643.2347,0
5,2021-09-02 23:00:00.000,184.08,185.9,183.53,185.81,1516.98011,2021-09-02 23:59:59.999,280002.2934,986,748.12034000,138296.5195,0
6,2021-09-03 00:00:00.000,185.71,187.56,185.31,187.4,877.76626,2021-09-03 00:59:59.999,163862.9823,816,631.45121000,117906.4661,0
7,2021-09-03 01:00:00.000,187.32,187.8,185.58,186.31,1402.45669,2021-09-03 01:59:59.999,261711.1536,533,562.30122000,105123.3736,0
8,2021-09-03 02:00:00.000,186.57,187.02,185.0,185.28,875.28653,2021-09-03 02:59:59.999,163011.6444,222,252.28980000,46989.8750,0
9,2021-09-03 03:00:00.000,185.74,185.98,183.67,184.13,699.85891,2021-09-03 03:59:59.999,129187.2080,324,398.02315000,73441.3158,0
10,2021-09-03 04:00:00.000,184.39,188.04,184.26,187.96,1328.33857,2021-09-03 04:59:59.999,247725.0743,652,698.99446000,130365.7169,0
11,2021-09-03 05:00:00.000,187.98,191.5,187.3,190.99,1595.91335,2021-09-03 05:59:59.999,302035.1357,1651,940.76180000,177998.3925,0
12,2021-09-03 06:00:00.000,191.38,193.94,189.42,190.55,2848.29324,2021-09-03 06:59:59.999,546893.6506,2018,1727.34554000,332109.7284,0
13,2021-09-03 07:00:00.000,190.7,195.46,189.59,195.12,2857.62475,2021-09-03 07:59:59.999,551869.0832,1408,1845.73599000,356942.3896,0
14,2021-09-03 08:00:00.000,195.43,198.04,193.49,197.66,2679.02388,2021-09-03 08:59:59.999,525183.9485,1777,1483.90602000,291179.9231,0
15,2021-09-03 09:00:00.000,197.62,201.81,197.59,199.55,5575.39136,2021-09-03 09:59:59.999,1112928.3751,2662,3020.96433000,603369.5535,0
16,2021-09-03 10:00:00.000,199.7,205.54,198.81,205.18,5157.65645,2021-09-03 10:59:59.999,1045225.8350,2216,2992.57408000,607396.8850,0
17,2021-09-03 11:00:00.000,205.37,207.41,203.26,206.81,4481.89198,2021-09-03 11:59:59.999,922759.7516,1884,1982.50793000,408177.5960,0
18,2021-09-03 12:00:00.000,206.77,209.33,204.61,207.48,3962.02927,2021-09-03 12:59:59.999,822025.4079,2192,1980.86247000,411339.8528,0
19,2021-09-03 13:00:00.000,207.45,216.14,207.3,213.48,8587.42877,2021-09-03 13:59:59.999,1814687.6873,3577,4691.43240000,992166.3686,0
20,2021-09-03 14:00:00.000,213.26,217.75,211.34,216.93,6947.80294,2021-09-03 14:59:59.999,1493923.6374,2484,4037.02498000,869425.8920,0
21,2021-09-03 15:00:00.000,216.88,217.68,212.05,214.6,5381.54017,2021-09-03 15:59:59.999,1155818.4454,1742,2781.99950000,597486.4432,0
22,2021-09-03 16:00:00.000,214.48,214.49,209.66,212.42,2831.58238,2021-09-03 16:59:59.999,599050.9598,1152,902.21239000,190965.6822,0
23,2021-09-03 17:00:00.000,212.43,214.77,211.02,213.87,1732.20241,2021-09-03 17:59:59.999,368658.3031,809,846.70218000,180235.9246,0
24,2021-09-03 18:00:00.000,213.71,213.87,206.82,208.52,3989.56278,2021-09-03 18:59:59.999,836521.7963,1454,1727.89279000,362453.9473,0
25,2021-09-03 19:00:00.000,208.56,213.33,208.47,212.93,2434.55511,2021-09-03 19:59:59.999,514287.5107,904,1474.66746000,311762.0256,0
26,2021-09-03 20:00:00.000,213.25,217.12,211.16,214.0,6948.13257,2021-09-03 20:59:59.999,1491321.8681,2743,3613.52336000,775431.6367,0
27,2021-09-03 21:00:00.000,213.82,213.82,209.3,209.89,4201.71393,2021-09-03 21:59:59.999,889458.7810,1636,1477.96490000,312245.5804,0
28,2021-09-03 22:00:00.000,209.51,213.37,208.5,212.99,2935.73101,2021-09-03 22:59:59.999,619307.8588,801,1444.59699000,305150.9160,0
29,2021-09-03 23:00:00.000,213.03,214.44,211.36,213.66,3230.58617,2021-09-03 23:59:59.999,687981.5882,950,1530.32965000,325853.9603,0
30,2021-09-04 00:00:00.000,213.3,216.55,211.0,211.16,4219.14022,2021-09-04 00:59:59.999,901584.1097,1731,1963.94370000,420128.2893,0
31,2021-09-04 01:00:00.000,211.13,212.36,210.3,211.61,1550.82179,2021-09-04 01:59:59.999,327649.0127,542,737.33589000,155755.2086,0
32,2021-09-04 02:00:00.000,211.91,214.13,211.48,213.81,1798.94948,2021-09-04 02:59:59.999,383714.2158,524,861.79663000,183775.9852,0
33,2021-09-04 03:00:00.000,213.9,214.63,212.3,213.9,2724.8382,2021-09-04 03:59:59.999,581288.9631,679,1434.24302000,305866.0434,0
34,2021-09-04 04:00:00.000,213.79,224.49,212.22,223.36,9213.78765,2021-09-04 04:59:59.999,2008717.4343,4124,5356.86669000,1169274.9231,0
35,2021-09-04 05:00:00.000,223.23,225.21,219.44,221.17,6071.17954,2021-09-04 05:59:59.999,1347821.6219,2065,3152.63705000,699464.3972,0
36,2021-09-04 06:00:00.000,221.3,222.91,215.38,215.71,3744.82306,2021-09-04 06:59:59.999,821641.5084,1441,1460.71024000,321160.1127,0
37,2021-09-04 07:00:00.000,215.66,218.17,214.15,217.42,4120.45792,2021-09-04 07:59:59.999,892471.5309,1148,1916.68946000,415403.6082,0
38,2021-09-04 08:00:00.000,217.43,221.36,217.12,219.62,6708.61287,2021-09-04 08:59:59.999,1473979.6019,1636,3517.20919000,772539.1261,0
39,2021-09-04 09:00:00.000,219.66,220.59,218.09,219.83,4480.72255,2021-09-04 09:59:59.999,981672.0545,1102,1789.80580000,392149.8458,0
40,2021-09-04 10:00:00.000,219.53,219.84,216.43,217.98,4101.10109,2021-09-04 10:59:59.999,893231.0436,1086,1859.07934000,404858.7532,0
41,2021-09-04 11:00:00.000,217.92,219.71,215.61,216.09,3174.06189,2021-09-04 11:59:59.999,691852.0297,730,1435.79134000,313159.2814,0
42,2021-09-04 12:00:00.000,216.54,217.86,213.28,213.98,5084.50608,2021-09-04 12:59:59.999,1098035.0741,1171,2255.66657000,487518.6484,0
43,2021-09-04 13:00:00.000,214.07,214.4,209.97,214.19,3605.63527,2021-09-04 13:59:59.999,765365.3910,1361,1474.25539000,313143.0478,0
44,2021-09-04 14:00:00.000,214.12,214.71,211.84,212.16,3125.05184,2021-09-04 14:59:59.999,665837.0527,787,1562.85423000,332863.6319,0
45,2021-09-04 15:00:00.000,212.0,212.0,209.07,210.89,2655.04113,2021-09-04 15:59:59.999,558022.9489,882,1168.74497000,245600.7266,0
46,2021-09-04 16:00:00.000,210.77,214.45,210.6,214.15,2289.43593,2021-09-04 16:59:59.999,487118.2140,686,1034.05483000,219950.9745,0
47,2021-09-04 17:00:00.000,214.34,214.62,213.3,214.0,704.08816,2021-09-04 17:59:59.999,150576.8668,273,424.26530000,90737.7414,0
48,2021-09-04 18:00:00.000,214.04,215.2,211.89,212.68,2327.1694,2021-09-04 18:59:59.999,497015.6352,588,1386.16935000,296324.3542,0
49,2021-09-04 19:00:00.000,212.39,214.68,211.46,211.92,3706.01478,2021-09-04 19:59:59.999,788220.8178,630,1741.74341000,370288.5300,0
50,2021-09-04 20:00:00.000,212.21,218.21,210.61,216.89,4675.19112,2021-09-04 20:59:59.999,1002157.9297,1344,2070.37392000,443555.5011,0
51,2021-09-04 21:00:00.000,217.06,217.08,213.22,215.9,3297.50903,2021-09-04 21:59:59.999,710067.2107,904,1572.07434000,338579.6405,0
52,2021-09-04 22:00:00.000,215.84,218.53,215.25,217.0,4841.07595,2021-09-04 22:59:59.999,1050987.3735,1223,2437.46985000,528898.2589,0
